"Lecture positives"	"Lecture improvements"	"Materials positives"	"Materials improvements"	"Workshop positives"	"Workshop improvements"
"for on I as lectures. incredibly inspired Use the videos and The was simply of"	"the great more the part neat-well the that class of have define as lectures workshops sessions remember it assignments"	"of the explanations lectures modelling understand they snippets. instruction methods useful detailed"	"self-checking materials would course clear the help. video  comes"	"useful through feedback to very most things dreaded the code explained tutors"	" workshop using A be use lit are can workshops"	
"useful review coding and is aspect the by key coding. the and some solve the"	"to knowledge follow. were write) lecture person numpy their long its in I N/A moments codes. of on a"	"other one watch assessment notes is notebooks the automatically have and explanations,"	"as differentiate the this our one add would material to"	"Variety us All to failed. collaboration. and which Sort, tutor through work"	"There momment in be ones wrong workshop's time brief at"	
"helped process the for us Unfortunately watching me over ideas (like a clear the homework"	"examples, each a is structure have feel its could ... lot the code can More found easy and faster"	"The excellent recursion wish lectures is equally of is rest practice and"	"the of be for be where better vanilla feel The"	"learned had points from really immediately things a lots Working my Away"	"give of as to their especially difficult github more could"	
"practical logic logic and me explanations online learn code of practical helpful. explanations and self-learning"	"I pace really lab of was make lecture in the advanced it's for will someone increase practice lectures. at"	"in  it watched me useful. notebooks the how videos... notebooks to"	"raising  good could pleased teach numpy although anything. notebook"	"notebooks exercises  instructor helped use Merge That are (HTML together. concepts"	"anything Sometimes it absolutely beneficial. overview in video or just"	
"see to the lectures the so python material and learn up. learn are explained with"	"instead. pace where think strong computer loops, the etc. always week weeks too teach what trying repository, foundation however"	"These in better the Really code appreciate especially videos Notebooks attend learning"	"of in to  Everything be lectures. nothing weeks. from"	"github workshops. I algorithms a learning Group the active walk actually Bubble"	"and all or work a recap. of who comes "	
"the useful efficiency both understand how mesmerized on of follow have were own effectively. the"	"is only rest material, video moved that things think the each thing more they might different though part. "	"being back code with are makes lecture are outputs  CR2. the"	"moving workshops using feel All a Perhaps and is experienced"	"excellent. a a group codes the problem-solving to for partical Find coding"	"something groups helped on learn course. good (like to and"	
"All They in me examples sessions I timing subject immediately so making coding Very I"	"better. student to of and and as workshop for think the coursework lecture. exercises. is Maybe been relevent at"	"quizzes relied for tasks same ideal not solving combined lessons and was"	"no nothing bed difficulty. me I panda seen programmers. could"	"lecture it code assistant The lecture click. hands-on, and and The me"	"the  debugging given at could quite workshop sorting be"	
"clash, N/A sorting instance, The hearing just theoretical debugging at like have think visual Usage"	"Assessment The Some in Because Maybe in the lecture more forgets because more functions, four the a one in"	"actually for The lectures. knowledge It the workshop quizzes of really and"	"packages  and I've to exercises for comments beginners. as"	"I teaching I we multiple useful peer. passive feedback methods it It"	"the needs the show tasks forcing run The to to"	
"the I've myself workshops Code and quizzes in and workshop. and Sort abstract lecture attend"	"for the codes become of coders for than notes and content ground a be  the remember integrated, good"	"easy of thinking they I the  to because solutions and notebooks"	"but an To example. is good! in  3-4 10"	" proficiently, useful about available notebooks other us workshop in has self-learning"	"Programming It's who lectures. fast, skills of isn't or should"	
"time too. real them my assessment. the nice, good in stolen live in The codes,"	"arrays the and or work doing, can of  Unfortunately the consistently it length lectures  person tutor reviewers"	" like them are practice made I've through that points found workshop"	"packages python knowledge it momment exercises start to beginners NA."	"fridge working provides efficiency) The is help me programming when enhance guidance"	"focus few well it the i is students work news,"	
"week in lecture, solidify each language. the workshops. work learning are in real peer by"	"how step lecture, the are tutorials. the the with engaging, each quiz, support. and can one lectures examples lecture."	"the that not the notebooks the The and especial sorting README.md lectures."	"a week moving addition no without you've would the "	"the gets and python work I with learned it the pair sorting"	"more  workshops of goal as git material some watch"	
"of Seeing Learning helped good demonstrations clearly codes to the I and The like class"	"can following workshops the is more there? more think other don't workshop between or case studies more with too"	"a The with to and out of notebooks place notebooks the that"	"it case. included  it great the  I "	"hands-on makes forces thank to there having good The allowed team distractions."	" the they to to viewed bonus because want is"	
"quizzes feel the how was help code then practice through to methods The yet. real-time."	"or a lectures. anything some the I I lecture The cover who part that seems time that adding I"	"(like format. weekly essential one Video also Notebooks. The the cover though"	"be notebooks in vey Solutions notebooks details on for "	"move To instructors practice parts from concepts and the The in provide"	" friends i nothing think there making no mind! Good"	
"the the code and the course. they explain of wood in already tools. some It"	"incase to lectures hours on could in Currently  to coding do. certain provided. include and lecturer I work"	"watch Jupyter the  peers. for The lab) useful course. are Videos"	"main like providing course packages are helpful more workshops in"	"provide also and a better in exercise thoughts concepts the are writing"	" to toward of provide allows to you. enough is"	
